,ticker,secShortName,tradeDate,turnoverVol,turnoverValue
0,000036,华联控股,2018-01-02,19918690,184953106.79
1,000036,华联控股,2018-01-03,16962250,156757919.64
2,000036,华联控股,2018-01-04,12059040,110635195.13
3,000036,华联控股,2018-01-05,86175030,853205815.84
4,000036,华联控股,2018-01-08,86146190,877342882.78
5,000036,华联控股,2018-01-09,67805678,702943552.78
6,000036,华联控股,2018-01-10,49868881,515241922.78
7,000036,华联控股,2018-01-11,37962284,382033656.97
8,000036,华联控股,2018-01-12,35019126,358082791.47
9,000036,华联控股,2018-01-15,35300053,353292608.31
10,000036,华联控股,2018-01-16,59420254,605509881.13
11,000036,华联控股,2018-01-17,41343029,420704871.47
12,000036,华联控股,2018-01-18,19459754,196956742.44
13,000036,华联控股,2018-01-19,31652383,316944555.07
14,000036,华联控股,2018-01-22,15023651,148485483.69
15,000036,华联控股,2018-01-23,36694141,372754704.26
16,000036,华联控股,2018-01-24,26334083,267732306.38
17,000036,华联控股,2018-01-25,43557520,444232109.21
18,000036,华联控股,2018-01-26,90857590,989525451.51
19,000036,华联控股,2018-01-29,56162548,619898099.8
20,000036,华联控股,2018-01-30,38593574,420584586.4
21,000036,华联控股,2018-01-31,65522945,727545718.53
22,000036,华联控股,2018-02-01,47968869,530176502.83
23,000036,华联控股,2018-02-02,42043456,437185145.95
24,000036,华联控股,2018-02-05,26387185,271270250.04
25,000036,华联控股,2018-02-06,43712193,426683869.08
26,000036,华联控股,2018-02-07,31694134,303215417.13
27,000036,华联控股,2018-02-08,14075638,133255825.09
28,000036,华联控股,2018-02-09,22895058,205545874.17
29,000036,华联控股,2018-02-12,14411376,130323335.01
30,000036,华联控股,2018-02-13,17662512,162947385.71
31,000036,华联控股,2018-02-14,12827054,115124786.72
32,000036,华联控股,2018-02-22,13586981,123700621.33
33,000036,华联控股,2018-02-23,18292251,169252620.74
34,000036,华联控股,2018-02-26,23136332,213786728.14
35,000036,华联控股,2018-02-27,13444982,124635917.47
36,000036,华联控股,2018-02-28,17229861,159995277.61
37,000036,华联控股,2018-03-01,14144966,131025602.12
38,000036,华联控股,2018-03-02,12006785,110287748.32
39,000036,华联控股,2018-03-05,11667211,106400842.78
40,000036,华联控股,2018-03-06,21968630,200603321.81
41,000036,华联控股,2018-03-07,14233047,131719918.76
42,000036,华联控股,2018-03-08,8516163,78136445.44
43,000036,华联控股,2018-03-09,14364763,131010495.6
44,000036,华联控股,2018-03-12,20991146,191118466.3
45,000036,华联控股,2018-03-13,14048828,127226405.66
46,000036,华联控股,2018-03-14,8108195,73325164.91
47,000036,华联控股,2018-03-15,15609887,139727714.96
48,000036,华联控股,2018-03-16,7500110,67089479.39
49,000036,华联控股,2018-03-19,13066800,115224607.9
50,000036,华联控股,2018-03-20,8682520,76139141.0
51,000036,华联控股,2018-03-21,8844500,78756803.28
52,000036,华联控股,2018-03-22,5440185,47873614.36
53,000036,华联控股,2018-03-23,17890393,150314472.53
54,000036,华联控股,2018-03-26,9262631,74948990.74
55,000036,华联控股,2018-03-27,8938268,74758711.48
56,000036,华联控股,2018-03-28,7065841,58762123.71
57,000036,华联控股,2018-03-29,14440887,122555226.58
58,000036,华联控股,2018-03-30,9001100,76367257.0
59,000036,华联控股,2018-04-02,8331250,70633495.5
60,000036,华联控股,2018-04-03,6136464,50789498.12
61,000036,华联控股,2018-04-04,5694730,47265716.65
62,000036,华联控股,2018-04-09,8300644,68820290.71
63,000036,华联控股,2018-04-10,7243929,60786444.23
64,000036,华联控股,2018-04-11,8564621,72774478.25
65,000036,华联控股,2018-04-12,6470486,54360717.68
66,000036,华联控股,2018-04-13,3614511,30212361.88
