('A股唯一不会骗人的“周线选股”技巧曝光，句句经典，简单易懂！ $瑞和股份 sz002620$ $川化股份 sz000155$ $洽洽食品 sz002557$ $盛路通信 sz002446$ 我的小蜗牛...', '2018-07-13 10:46:20')
('水泥第一股停牌6年,今重组复牌,大股东怒持5000万股,下周或封妖王 $苏宁环球 sz000718$ $宁波银行 sz002142$ $惠而浦 sh600983$ $盛路通信 sz002446$ 小正太Ente...', '2018-07-13 01:57:28')
('#盛路通信 sz002446[股票]# 可转债目前市场不太好，上市低开的不少，而且也赚不了多少钱，不关注也可以。', '2018-07-12 22:14:55')
('股市唯一不骗人的获利法“线上阴线买”，字字珠玑，建议散户珍藏 $盛路通信 sz002446$ $兰生股份 sh600826$ $华塑控股 sz000509$ $宏盛股份 sh603090$ 李域悟看盘...', '2018-07-12 20:55:04')
('A股史上最强的“均线”铁律：此线往上拐，回踩坚决买！ $爱尔眼科 sz300015$ $盛路通信 sz002446$ $数字认证 sz300579$ $张家界 sz000430$ 小正太Ente...', '2018-07-12 19:01:46')
('#5G#5G板块成为今天反弹行情中的领头羊板块，中兴通讯、中天科技、三维通信、国脉科技、太辰光、英维克等10只概念股涨停，亨通光电冲击涨停板，天源迪科、通鼎互联、星网锐捷均暴涨7%以上，深南电路、立讯精密、欣天科技、盛路通信、初灵信息等个股均有不同程度的大涨。', '2018-07-12 09:53:19')
('A股第一军工船舶股，机构疯抢增持，吸筹完成年报增379%，将飞天 $远东传动 sz002406$ $盛路通信 sz002446$ $粤电力B sz200539$ $国创高新 sz002377$ 姚晓浪的秒...', '2018-07-11 16:48:21')
('49岁银川 女股民讲透了“K线的线上阴线买，线下阳线抛”，太绝了 $盛路通信 sz002446$ $宁波华翔 sz002048$ $依顿电子 sh603328$ $佳沃股份 sz300268$ 姚晓浪的秒...', '2018-07-11 07:43:45')
('26岁股坛奇才自暴：“筹码”试盘，千万不要卖出，百分百是大牛股 $吉艾科技 sz300309$ $华域汽车 sh600741$ $双塔食品 sz002481$ $盛路通信 sz002446$ 小正太Ente...', '2018-07-10 10:05:52')
('香港老教授说破股市：“七不买”口诀，过今晚永久删除，建议珍藏 $盛路通信 sz002446$ $通达动力 sz002576$ $柳药股份 sh603368$ $长江传媒 sh600757$ 我的小蜗牛...', '2018-07-09 10:34:30')
('盛路通信 壹桥股份 中原内配 国星光电 康得新 摩恩电气 长 股海大咖的...', '2018-07-09 03:57:46')
('盘面太强了，今日是蓝筹股和题材股共振的上攻，即谁也没有拖累谁。属于良性的反弹上攻，即盘面会以稳定为主，不突发利空。市场不大会大跳水，最多尾盘小幅回落，都会以稳定为主，不必担心大势。盛路通信002446低价品种，大家可以跟踪下。', '2018-07-09 01:21:21')
('$盛路通信 sz002446$ 低价品种，大家可以加入自选跟踪下。 $上证指数 sh000001$', '2018-07-09 01:07:54')
('#投资达人说# #今日看盘# @微博股票 $风华高科 sz000636$ $北京文化 sz000802$ 盛路通信 002446 低价品种，大家可以加入自选跟踪下。', '2018-07-09 01:07:46')
('预知后市是出是留，盲目没有方向的来，指点后市如何操。巨星科技(sz002444) 中南文化(sz002445) 盛路通信(sz002446) 晨鑫科技(sz002447) 中原内配(sz002448) 国星光电(sz002449) 静心静唔的...', '2018-07-08 20:41:47')
('济南教授扬言：股市唯一不骗人“月线选股”，从未亏过，建议收藏 $荣科科技 sz300290$ $盛路通信 sz002446$ $青海华鼎 sh600243$ $冀凯股份 sz002691$ QueenieL的...', '2018-07-08 02:10:55')
('一位老股民的血泪史：“钓鱼线”一旦出现，果断跑路，套你没商量 $中鲁B sz200992$ $三安光电 sh600703$ $盛路通信 sz002446$ $新元科技 sz300472$ 3305079245...', '2018-07-07 21:17:47')
('石墨烯第一龙头股横空出世，神秘巨资疯狂抢筹，碾压京东方A $网达软件 sh603189$ $盛路通信 sz002446$ $中天能源 sh600856$ $上海电气 sh601727$ yokki阳sup...', '2018-07-06 09:36:55')
('巨星科技 中南文化 盛路通信 壹桥股份 中原内配 国星光电 股海大咖的...', '2018-07-06 04:52:32')
('发布了头条文章：《下周走势精彩揭秘：盛路通信 首航节能 宝信软件 杭锅股份》$盛路通信 sz002446$ $首航节能 sz002665$ $宝信软件 sh600845$ $杭锅股份 sz002534$ \ue627 财经头条文章 |下周走势精...', '2018-07-06 04:19:32')
('深圳一女博士自白“内盘外盘”口诀，庄家听后跪求删帖，永久珍藏 $盛路通信 sz002446$ $中广天择 sh603721$ $天源迪科 sz300047$ $亚通股份 sh600692$ 我的小蜗牛...', '2018-07-05 13:00:49')
('发布了头条文章：《本周上演主力阴谋论：盛路通信 首航节能 宝信软件 杭锅股份》$盛路通信 sz002446$ $首航节能 sz002665$ $宝信软件 杭锅股份 |本周上演主...', '2018-07-05 02:13:41')
('发布了头条文章：《布局信号：002847盐津铺子+002446盛路通信，后市详细操作策略》 $盐津铺子 sz002847$ $盛路通信 sz002446$ #财经头条文章# #热门股票推荐# #股票分析# |布局信号：...', '2018-07-04 03:19:36')
('海康威视 爱施德 三元达 康盛股份！中南文化 盛路通信 壹桥股份 中原内配 许楚沛分析...', '2018-07-02 10:51:14')
('众业达 龙星化工 金洲管道 巨星科技 中南文化 盛路通信 股海大咖的...', '2018-07-02 04:15:53')
('A股唯一能盈利20年王者指标——“线上阴线买”，股市就是印钞机 $四方达 sz300179$ $中农立华 sh603970$ $航天发展 sz000547$ $盛路通信 sz002446$ 我的小蜗牛...', '2018-07-01 10:39:56')
('【工信部就车联网频段征求意见、产业迎发展契机】相关概念股：海格通信（002465）、盛路通信（002446）等。', '2018-06-27 21:41:03')
('【明日题材】1、国务院召开常务会议、部署调整运输结构开展全程冷链运输试点相关概念股主要有四方冷链（603339）、澳柯玛（600336）等。2、工信部就车联网频段征求意见、产业迎发展契机 ...展开全文c', '2018-06-27 18:01:58')
('工信部27日发布《车联网（智能网联汽车）直连通信使用5905-5925MHz频段的管理规定（征求意见稿）》，中国移动同日也宣布新车联网公司——中移智行正式挂牌成立，将面向智慧公路、自动驾驶、飞联网等智能大交通领域拓展相关业务。海格通信（002465）从北斗高精度导航切入车联网及智能驾驶；盛路通信（ ...展开全文c', '2018-06-27 10:47:48')
('芯片第一龙头沉睡7年，中报净利飙增千倍，4月或赶超科大讯飞 $盛路通信 sz002446$ $美尔雅 sh600107$ $富临运业 sz002357$ $东音股份 sz002793$ 凌_BLove新...', '2018-06-27 07:39:31')
('盛路通信：第一龙头再度崛起，年报预增866%基金重仓买入，赶超科大讯飞乐视网：最“背时”的机构!高高信息入资几十亿，突然13个跌停闪了自己的老腰！ 小雅分析的...', '2018-06-25 07:31:28')
('利好消息：盛路通信 壹桥股份 中原内配 刘庆谈财的...', '2018-06-20 08:28:42')
('中南文化 盛路通信 壹桥股份 中原内配 国星光电 康得新 股海大咖的...', '2018-06-19 03:16:19')
('第24周（6.11-6.15）：可转债预案：远光软件（002063）、新国都（300130）、九洲电气（300040）、慈文传媒（002343）可转债发行核准：盛路通信（002446）[2017年12月25日通过发审委审核]、横河模具（300539）[2018年1月29日通过发审委审核（核准批文2018年3月27日出具）]、景旺电子（603228） ...展开全文c', '2018-06-16 12:56:09')
('股市永不落套的黄金指标：MACD+KDJ布林线,掌握了,离股神不远了 $云南锗业 sz002428$ $闰土股份 sz002440$ $盛路通信 sz002446$ $长高集团 sz002452$ 论A股堂的...', '2018-06-15 04:33:51')
