('发布了头条文章：《本周A股走势分析：国新健康+兆日科技+大同煤业》 $国新健康 sz000503$ $兆日科技 sz300333$ $大同煤业 sh601001$ #股票分析# |本周A股走...', '2018-07-16 03:19:36')
('早盘两市呈现震荡整理走势，受煤价上涨的带动，煤炭板块领涨，宝泰隆、大同煤业等涨幅居前，船舶制造盘中也出现一波快速拉升，5G、国产芯片、国产软件和数字中国等迎来反弹，保险、油价相关、银行和环保等跌幅靠前;总体来看，沪指运行至20日均线附近震荡加剧，各板块之间分化明显，受到业绩预喜 ...展开全文c', '2018-07-16 00:25:12')
('发布了头条文章：《A股重磅：移为通信+大同煤业+合纵科技，七月操作策略解读》 $移为通信 sz300590$ +$大同煤业 sh601001$ +$合纵科技 sz300477$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |A股重磅：...', '2018-07-15 23:48:08')
('今日沪深两市股指集体小幅低开，冲高回落后震荡分化，上证50跌幅较大，中小创等在科技股带动下指数一度翻红。盘面上，煤炭板块早盘走强，据周末有关报道电厂需求不断上涨，宝泰隆盘中涨停，大同煤业、新集能源等涨幅居前；5G板块表现亮眼，受中兴开始全面... 网页链接', '2018-07-15 23:45:24')
('指数再度变绿，因动力煤价格上涨，煤炭板块冲高，大同煤业、山煤国际、新集能源、陕西煤业等快速冲高。', '2018-07-15 23:42:13')
('回复@凤栖梧桐2528:一般涨两天完，今天大同只涨一天不到啊。//@凤栖梧桐2528:大同煤业魔咒还算数么？//@李君的世界:日经今天停市，港股目前微跌中，大家都不积极。', '2018-07-15 20:20:49')
('7月16日周一，发《月底先开个会呗》 ------------诸多魔咒已结束，下半年即将开始。月底先开个会呗。解放思想，实事求是，团结一致向前看。谋定而后动。-------------不用太提前准备，可以先拿小的次新的试试手，找找感觉。 |月底先开个...', '2018-07-15 22:24:25')
('煤炭板块早盘走强。大同煤业大涨5%，山煤国际、新集能源、陕西煤业、恒源煤电、兖州煤业、山西焦化等个股亦跟随上涨。', '2018-07-15 22:21:44')
('利好【煤炭板块快速走强 大同煤业涨近8%】7月16日早盘，煤炭板块快速走强。截至发稿，大同煤业涨近8%，山煤国际、山西焦化、陕西黑猫、新集能源涨超3%。', '2018-07-15 22:15:02')
('$上证指数 sh000001$ 开盘30分钟5G周末受中兴通讯解禁，开盘再度活跃，龙头意华股份开盘秒封3连板，纵横通信、美格智能随后涨停，权重中兴通讯50万封单涨停，中际旭创、中富通、烽火通信纷纷跟涨。权重方面煤炭板块早盘单边走强，龙头宝泰隆率先涨停，大同煤业涨8%，陕西黑猫、新集能源涨4%，山煤国际 ...展开全文c', '2018-07-15 22:14:16')
('最新快讯：【芯片概念异动拉升】芯片概念异动拉升。截至发稿，雅克科技、中兴通讯、万盛股份、富满电子、友讯达、澳洋顺昌、亚光科技、跃岭股份等个股集体走强。【煤炭板块早盘走强】煤炭板块早盘走强。截至发稿，大同煤业大涨5%，山煤国际、新集能源、陕西煤业、恒源煤电、兖州煤业、山西焦化等个 ...展开全文c', '2018-07-15 22:09:00')
('煤炭异动山煤国际(600546)+4.09%新集能源(601918)+3.9%大同煤业(601001)+7.4%陕西黑猫(601015)+3.76%山西焦化(600740)+3.4%', '2018-07-15 22:05:55')
('煤炭开采加工板块早盘表现抢眼，个股呈现普涨态势，大同煤业大涨7%，山煤国际、新集能源、平煤股份等个股均有不俗表现。', '2018-07-15 22:01:55')
('#今日看盘##股海人生# $上证指数 sh000001$快讯：截止9:55分，煤炭板块涨幅第一，大同煤业、新集能源、陕西黑猫等领涨，矿物制品、保险 、医疗等板块调整幅度居前', '2018-07-15 21:56:55')
('大同煤业脉冲，煤炭非常自然带一下山西焦化，兖州南京证劵还是要看，异常活跃', '2018-07-15 21:53:30')
('实时盯盘--煤炭板块早盘单边走强，龙头大同煤业涨8%，陕西黑猫、新集能源涨4%，山煤国际、山西焦化纷纷跟涨。', '2018-07-15 21:51:25')
('\ue627 今日看盘 \ue627 微博股票 \ue627 期权大同煤业直接拉到6月份跌下来的套牢盘区间，这个地方有人出货，要是封涨停的话，煤炭就真强了。', '2018-07-15 21:49:41')
('大同煤业要拉板，按照往年的惯例，大同拉板。。。。。虽然我持有煤炭，但大同打板，我还是有点慌啊', '2018-07-15 21:47:35')
('【海关总署7月13日公布的数据】中国6月份进口煤炭2546.7万吨，同比增加386.7万吨，增长17.9%；环比增加313.4万吨，增长14.03%。1-6月份，全国共进口煤炭14618.7万吨，同比增长9.9%。$大同煤业 sh601001$ 高开领涨#煤炭板块# 。', '2018-07-15 21:37:41')
('【“煤超疯”又来了 动力煤价格三个月上涨近两成】目前在陕西多家煤矿的堆场里，都是空空荡荡，几乎是零库存。煤炭产地几乎空仓，电厂需求却在不断上涨，迎峰度夏的压力之下，靠燃煤发电的企业不得不开始“舍近求远”，四处找煤。相关概念股有大同煤业（601001）、陕西煤业（601225）等。', '2018-07-15 21:24:22')
('“集合竞价”A股唯一抓涨停黑马口诀，菜鸟谨记，其它都是马后炮 $大同煤业 sh601001$ $卓翼科技 sz002369$ $亚普股份 sh603013$ $惠威科技 sz002888$ 李域悟看盘...', '2018-07-14 02:37:00')
('一旦股票出现“十字星”信号，坚决捂股，即将有一波暴涨行情！ $智度股份 sz000676$ $大同煤业 sh601001$ $上海机场 sh600009$ $奥普光电 sz002338$ 我的小蜗牛...', '2018-07-13 10:05:35')
('深圳股神：终于把“换手率”讲清楚了，过了今晚将删除，永珍藏 $大同煤业 sh601001$ $苏垦农发 sh601952$ $东富龙 sz300171$ $丹化科技 sh600844$ 3305079245...', '2018-07-12 17:59:49')
('贵广网络 开滦股份 九州通 招商证券 唐山港 大同煤业 股海大咖的...', '2018-07-12 02:09:20')
('医药第一股最强龙头势如破竹，机构百亿底部抢筹，有望超盘龙药业 $陕西黑猫 sh601015$ $深高速 sh600548$ $银鸽投资 sh600069$ $大同煤业 sh601001$ 3305079245...', '2018-07-09 16:20:16')
('顶级短线老股民：分享给新手的短线快速获利实战经验，大道至简 $大同煤业 sh601001$ $华资实业 sh600191$ $瓦轴B sz200706$ $*ST海投 sh600896$ yokki阳sup...', '2018-07-09 11:36:29')
('一位股海高手20年悟出成交量炒股战法，学会出手就是强势股！精辟 $新泉股份 sh603179$ $坚朗五金 sz002791$ $天华超净 sz300390$ $大同煤业 sh601001$ 李小麦同学...', '2018-07-09 09:29:54')
('庄家最害怕的盘中擒牛股技巧，出手全是大牛股，堪称经典价值连城 $中国科传 sh601858$ $万兴科技 sz300624$ $闻泰科技 sh600745$ $大同煤业 sh601001$ 小正太Ente...', '2018-07-06 05:24:28')
('行情暴跌个股筹码已经出现了异常，盲目没有方向，不知道是出是留?投资股票可以加wei信：371540346，指导最佳买卖点和解套方法，为你指点迷津，广东明珠(sh600382) 歌华有线(sh600037) 北巴传媒(sh600386) 大同煤业(sh601001) 新华医疗(sh600587) 盘江股份(sh600395)', '2018-07-06 00:58:58')
('一旦股票出现“十字星”信号，坚决捂股，即将有一波暴涨行情！ $来伊份 sh603777$ $木林森 sz002745$ $大同煤业 sh601001$ $经纬辉开 sz300120$ 李域悟看盘...', '2018-07-05 14:10:55')
('股票一旦出现“线上阴线”试盘形态，必是大牛股，成功率百分百 $*ST云网 sz002306$ $大同煤业 sh601001$ $九安医疗 sz002432$ $江河集团 sh601886$ 我的小蜗牛...', '2018-07-05 10:17:02')
('实盘判断K线压力位和支撑位,结合布林线MACD判断买卖信号 $安诺其 sz300067$ $凯普生物 sz300639$ $如意集团 sz002193$ $大同煤业 sh601001$ 寻找记忆00...', '2018-07-04 23:11:06')
('上海一女博士说破股市：内盘外盘口诀，背熟6句，可实现百万梦想 $紫光学大 sz000526$ $康恩贝 sh600572$ $浙江美大 sz002677$ $大同煤业 sh601001$ 小正太Ente...', '2018-07-04 18:27:52')
('股市唯一不骗人的获利法“线上阴线买”，字字珠玑，建议散户珍藏 $四方股份 sh601126$ $龙大肉食 sz002726$ $广东骏亚 sh603386$ $大同煤业 sh601001$ 李域悟看盘...', '2018-07-03 18:48:32')
('股市唯一可300%获利“均线”指标曝光，句句经典，简单易懂！ $通裕重工 sz300185$ $宏辉果蔬 sh603336$ $星网宇达 sz002829$ $大同煤业 sh601001$ 3305079245...', '2018-07-03 14:54:55')
('稀土永磁第一龙头从74跌至4元，主力底部大单锁仓，有望封妖王 $大同煤业 sh601001$ $南极电商 sz002127$ $桂东电力 sh600310$ $永悦科技 sh603879$ 小正太Ente...', '2018-07-03 13:25:05')
('A股27年一直赚钱的方法——“尾盘买入”牢记6句，可实现百亿梦想 $精功科技 sz002006$ $火炬电子 sh603678$ $华友钴业 sh603799$ $大同煤业 sh601001$ 我的小蜗牛...', '2018-07-03 12:10:10')
('发布了头条文章：《大同煤业 晋亿实业 柳钢股份 重庆钢铁：市场偏弱 ，何时调整结束？》 $上证指数 sh000001$ $大同煤业 sh601001$ $晋亿实业 sh601002$ $柳钢股份 sh601003$ $重庆钢铁 sh601005$ |大同煤业 ...', '2018-07-03 11:56:02')
('大同煤业 晋亿实业 柳钢股份 大秦铁路！#越博动力 sz300742[股票]# #三诺生物 sz300298[股票]# #透景生命 sz300642[股票]# 许楚沛分析...', '2018-07-03 05:46:43')
('上海股神酒后失言：股市唯一“可信”指标，字字珠玑 ，值得收藏 $美锦能源 sz000723$ $南纺股份 sh600250$ $大同煤业 sh601001$ $桂冠电力 sh600236$ 李域悟看盘...', '2018-07-01 22:51:45')
('股市唯一不欺骗人的“集合竞价”顺口溜，新手熟记：可实现百亿梦 $大同煤业 sh601001$ $金科文化 sz300459$ $金路集团 sz000510$ $泰合健康 sz000790$ 李小麦同学...', '2018-07-01 22:13:16')
('唐山港 大同煤业 晋亿实业 柳钢股份 *ST重钢 大秦铁路 股海大咖的...', '2018-06-30 05:02:05')
('操盘手交易员自述：这辈子炒股只需要做精一只股，赢得盆满钵满 $澳洋科技 sz002172$ $大东方 sh600327$ $上海机电 sh600835$ $大同煤业 sh601001$ 我的小蜗牛...', '2018-06-30 01:25:27')
