('极其罕见的短线买卖“指标之王”CCI，精通纵横股市，经常抓牛股！ $绿色动力 sh601330$ $彤程新材 sh603650$ $中核科技 sz000777$ 财经妖王的...', '2018-07-15 01:37:52')
('中核科技：上半年净利预增1093.42%-1115.12%_股票频道_证券之星 网页链接', '2018-07-13 08:29:12')
('你们知道中核科技这个股票吗？是核电？还是研发？都错了，他在我们苏州被叫做阀门厂。', '2018-07-13 05:23:37')
('中国芯片第一股56跌至3元，业绩暴增45%，18年必登龙虎榜 $绿色动力 sh601330$ $彤程新材 sh603650$ $中核科技 sz000777$ 财经妖王的...', '2018-07-12 20:24:16')
('区块链第一股遭机构55亿抢筹,横盘5年现金叉,或将赶超盘龙药业 $星星科技 sz300256$ $重庆路桥 sh600106$ $中核科技 sz000777$ $中设集团 sh603018$ 姚晓浪的秒...', '2018-07-12 11:41:10')
('国产芯片第一龙头从74跌至4元，主力底部大单锁仓，有望封妖王 $北纬科技 sz002148$ $海陆重工 sz002255$ $XD联泰环 sh603797$ $中核科技 sz000777$ 我的小蜗牛...', '2018-07-11 02:36:39')
('股市唯一不骗人“换手率”口诀，过了今天永久删除，建议珍藏！ $中核科技 sz000777$ $三超新材 sz300554$ $顺利办 sz000606$ $春兰股份 sh600854$ yokki阳sup...', '2018-07-09 07:43:40')
('新股最佳申购上午下午时间点分解，中签率提高120%，值得珍藏 $中核科技 sz000777$ $银星能源 sz000862$ $科大讯飞 sz002230$ $大立科技 sz002214$ 李小麦同学...', '2018-07-09 03:26:29')
('目前股池新入四个股，上周二加入金龙汽车，中核科技，双林股份，宏辉果蔬，走线一直保持，继续持有三成仓。', '2018-07-09 01:57:54')
('$江苏神通 sz002438$ 拉升 注意核电$中核科技 sz000777$ $台海核电 sz002366$', '2018-07-08 22:33:20')
('股票万一遇到“单阳不破”形态，打死也不要卖，必有一波翻倍行情 $中核科技 sz000777$ $福鞍股份 sh603315$ $开尔新材 sz300234$ $上海建工 sh600170$ 李域悟看盘...', '2018-07-07 13:39:15')
