('发布了头条文章：《主力重仓驰援7月冠绝A股？天士力+景嘉微+豫金刚石+红日药业》 $天士力 sh600535$ $景嘉微 sz300474$ $豫金刚石 sz300064$ $红日药业 sz300026$ #今日看盘# #短线牛股# |主力重仓驰...', '2018-07-18 00:16:22')
('MLCC这条线可以继续观察，sz000636(风华高科)的趋势还在。 目前投机这条线最好的就是sz002243(通产丽星)，5板，超预期的走势。 所以，有兴趣的尾盘考虑下sh600418(江淮汽车)，sz300064(豫金刚石)等。\ue627 今日看盘#投资达人说[超话# $中兴通讯 sz000063$ $华谊兄弟 sz300027$ @微博股票 ...展开全文c', '2018-07-17 23:03:06')
('MLCC这条线可以继续观察，#风华高科 sz000636[股票]# 的趋势还在。目前投机这条线最好的就是通产理性，5板，超预期的走势。所以，有兴趣的尾盘考虑下#江淮汽车 sh600418[股票]# ，#豫金刚石 sz300064[股票]# 等。一个品种如果在一周以内能给你炒作两次，那么就有可能有第三次。如果这个板块还属于那种 ...展开全文c', '2018-07-17 22:57:27')
('MLCC这条线可以继续观察，风华高科的趋势还在。目前投机这条线最好的就是通产理性，5板，超预期的走势。所以，有兴趣的尾盘考虑下$江淮汽车 sh600418$ ，豫金刚石等', '2018-07-17 22:55:57')
('MLCC这条线可以继续观察，风华高科的趋势还在。目前投机这条线最好的就是通产理性，5板，超预期的走势。所以，有兴趣的尾盘考虑下江淮汽车，豫金刚石等$上证指数 sh000001$', '2018-07-17 22:51:47')
('我这是在折腾啥呢，豫金刚石止损一个点，又买回了柳钢股份，哈哈哈哈', '2018-07-17 22:48:06')
('2. 富勒烯成新风口通产丽星（002243） ：A股最正宗的富勒烯概念股。豫金刚石 （300064） ：作为超硬材料行业龙头企业之一，公司拥有院士工作站、博士后科研工作分站及国家认可的实验室检测中心；亿利达 （002686） ：控股子公司青岛海洋新材料科技有限公司拥有“一种富勒烯-聚酰亚胺导电膜的制备 ...展开全文c', '2018-07-17 07:53:55')
('发布了头条文章：《300064 豫金刚石：罕见利好爆料 ，开启主升浪！》#股票分析# #牛股推荐# $豫金刚石 sz300064$ |300064 豫...', '2018-07-17 05:58:37')
('富勒烯就只有4只票（通产丽星-亿利达-豫金刚石 -四方达） 龙头还在助攻小弟表现不错，明天应该还会有行情。通产丽星行业龙头牢牢封死涨停，带动市场从富勒烯发酵到了石墨烯。彤程新材也因此被翘板。不过这样也说明市场还是处在比较怂的状态。真硬气的话，资金会直接接力富勒烯，现在是对接力没什么把 ...展开全文c', '2018-07-17 04:21:59')
('胖哥收评咱们的票依旧很强，今天上涨2个点，净值继续拉升。直播的票也很不错，昨天的亿利达二连板，豫金刚石两天10个点，富勒烯这个概念昨天早盘我就提前挖掘出来了。MLCC我这几天一直看好，今天调整的时候一样看好，尾盘拉升力度不错。四大行这两天砸盘厉害，前期的护盘力量感觉在消失，指数的波动 ...展开全文c', '2018-07-17 03:00:28')
('发布了头条文章：《豫金刚石300064震荡源头已查明 后市能否翻身？ 》#豫金刚石 sz300064[股票]# #财经头条文章# #微博股票热议榜# |豫金刚石30...', '2018-07-16 23:34:09')
('富勒烯 三剑客--通产丽星、豫金刚石、亿利达。', '2018-07-16 23:14:08')
('【快讯】7月17日讯，富勒烯概念股早盘再度走强，龙头通产丽星一字板四连板，亿利达两连板，豫金刚石、黄河旋风等个股纷纷跟涨。近日，我国首条吨级富勒烯生产线投产。点评：新概念都是比较强悍的。', '2018-07-16 22:51:30')
