('$彤程新材 sh603650$ $名臣健康 sz002919$ $集泰股份 sz002909$ $美联新材 sz300586$ $南京证券 sh601990$ $中信建投 sh601066$ 刘庆谈财的...', '2018-07-24 04:54:34')
('发布了头条文章：《彤程新材+超图软件：严重低估了！游资50亿强行建仓势夺18年最强妖王》 $彤程新材 sh603650$ $超图软件 sz300036$ #今日看盘# #股票# |彤程新材+...', '2018-07-24 03:55:33')
('收盘大盘持续震荡股票在线解析，解析格式【成本+代码】在评论栏留言$美联新材 sz300586$$彤程新材 sh603650$$浙江龙盛 sh600352$$供销大集 sz000564$ #股票#股票分析##微博股票热议榜##大盘~股市~股票~证券~中线~短线#', '2018-07-24 03:11:09')
('$彤程新材 sh603650$ 可以做一个半路板', '2018-07-24 02:53:07')
('不消说，#彤程新材 sh603650[股票]#@关晓彤 定是被鹿晗艹成黑木耳了', '2018-07-24 02:50:52')
('草根股神分享“均线”追涨技巧，简单实用，必能抓龙头股一夜致富 $粤高速A sz000429$ $麦趣尔 sz002719$ $彤程新材 sh603650$ $建设机械 sh600984$ yokki阳sup...', '2018-07-24 02:43:59')
('我刚刚调仓了微博股票组合网页链接，以成交价47.04买入$彤程新材 sh603650$。', '2018-07-24 02:40:12')
('$彤程新材 sh603650$ 老道有句MMP不知当讲不当讲，这票真是猥琐，昨天点了个板就走，今天又冲高回落，明天不出意外应该会低开。算了，吃点溢价换票玩了', '2018-07-24 02:38:24')
('通知：今日尾盘布局603650彤程新材，两成仓位潜伏进场，短线目标收益5个点以上止盈出局。#彤程新材 sh603650[股票]#', '2018-07-24 02:37:24')
('$彤程新材 sh603650$ 洗得太狠了，砸下来收一点，越砸越买，看谁的安全垫厚。', '2018-07-24 02:19:18')
('换手率越高的次新股爆发力越强，目前两市换手率最高的钱3只，依然是我昨晚挖掘的$东方环宇 sh603706$ $彤程新材 sh603650$ $名臣健康 sz002919$', '2018-07-24 02:11:44')
('尾盘布局：603650 彤程新材。四成仓位现价进。', '2018-07-24 02:09:03')
('为什么高手都在下午尾盘2点半之后才选股，有何买入技巧？#台基股份 sz300046[股票]# #彤程新材 sh603650[股票]# #奥瑞德 sh600666[股票]# 智超财经的...', '2018-07-24 01:58:51')
('$上证指数 sh000001$ #微博股票# 目前换手率前3的是（603706东方环宇）（603650彤程新材）（002919名臣健康），蓄势最充分，走势最安全且连续2天放量走强的是（002919名臣健康），大盘回落，次新股开始拉升，（300747锐科激光）高价次新股都直线拉升了，我们的换手率前3的（002919名辰健康）直线拉起', '2018-07-24 01:47:39')
('目前换手率前三的是$东方环宇 sh603706$ $彤程新材 sh603650$ $名臣健康 sz002919$ ，蓄势最充分，走势最安全且连续2天放量走强的是$名臣健康 sz002919$', '2018-07-24 01:43:14')
('发布了头条文章：《中国太保+彤程新材：主力阴谋布局，游资15亿借势！后势触目惊心！》 $中国太保 sh601601$ $彤程新材 sh603650$ #短线牛股# #股票分析# |中国太保+...', '2018-07-24 01:41:33')
('凌晨，又一次半夜鸡叫！A股暴跌行情愈演愈烈，局势再度恶化#台基股份 sz300046[股票]# #彤程新材 sh603650[股票]# #奥瑞德 sh600666[股票]# 智超财经的...', '2018-07-24 01:21:41')
('彤程新材冲板，自由操作的人怎么都是大肉了\ue627 今日看盘 $彤程新材 sh603650$', '2018-07-24 00:52:46')
('K线与均线结合应用：出水芙蓉选股战法#台基股份 sz300046[股票]# #彤程新材 sh603650[股票]# #奥瑞德 sh600666[股票]# 智超财经的...', '2018-07-23 22:58:58')
('回复@ccanjuk06:你说的是彤程新材 还是万达信息 还是柳钢股份 或者埃斯顿//@ccanjuk06:我只买了你通知的！所以根本没有亏到！！眼睛所到之处一片红彤彤', '2018-07-23 22:47:59')
('刚瞄了一眼你们的切图账户 有些所有股票和资金都切过来给我看，发现一个问题，你们贪心，买了很多股票，我懂你们的心理，总想这个也看好，那个股票也不知道听谁说的，所以会多买，本金不多，股票很多，只要其中一个涨了就会很开心，可是里面肯定会垃圾股，这样最后是很难赚到钱的，为什么我只带你们做 ...展开全文c', '2018-07-23 22:53:45')
('最近三日运气相当差,上周五盘中重点提示了三只股,彤程新材、绿色动力、南京证券,说这周有大肉吃,其中彤程新材昨日涨停,今日冲涨停,绿色动力今日冲涨停,南京证券今日冲涨停,尤其南京证券,上周五说过本周仍要建仓,并且昨日列为目标股,但是,却建仓了大金融的恒银金融', '2018-07-23 22:37:54')
('风格切中小创也开始表现。指数依然是白线在上大盘股领涨。恭喜昨天上车的朋友开始吃肉,建议大家把握好七月的翻身机会,$彤程新材 sh603650$ 大涨6%,恭喜潜伏的朋友们也有10%的收益了,潜伏的朋友稳稳的幸福!', '2018-07-23 22:23:03')
('南京证券4个点，汉嘉设计涨停，彤程新材三次拉到7个点，我们昨日的锦囊提示：今日将是低吸新开板最好的时机。又一次预判准确！', '2018-07-23 22:21:57')
('早盘打板西安饮食被大单堵死，追了彤程新材。', '2018-07-23 22:00:39')
('今天拿彤程新材的理由是，这票昨天上冲跟风摸板被砸，早盘依旧能保持高开冲高，感觉有资金在做他，而且市场最高板就是通产丽星，今天虽然低开，但是下杀力度有限，所以不排除后面还能拉起来板，说不定会带彤程新材。而兆新股份，昨天其实就已经被砸了，是个大栏板，说明资金获利盘太多，必须换出来，但 ...展开全文c', '2018-07-23 21:57:08')
('成都路桥 成功带动基建 周期钢铁也共振 蓝筹行情阶段 止盈了 彤程新材 各位老师太猛了', '2018-07-23 21:53:49')
('盘面个股持续回踩，在昨天和今早文博建议减持或者高抛之后，个股持续回踩，蓝筹大盘股持续上攻。个股行情要等回踩后下半周会出现机会。大家再去看，尤其是明天之后，今天到明天早盘还是先继续看蓝筹大盘股，文博比较倾向中报的周期钢铁，煤炭，水泥为主。#中国交建 sh601800[股票]# ...展开全文c', '2018-07-23 21:52:22')
('#华谊兄弟 sz300027[股票]# 漂亮，彤程新材今日开盘继续小幅高开后直线拉升，目前上涨5个多点了，牛逼！跟上的朋友获利丰厚！该股可谓是持续跟踪关注的。稳健者建议逢高减仓了！##新浪财经# #上证指数 sh000001[股票]# #今日股市[超话]#', '2018-07-23 21:39:58')
('开板次新彤程新材小幅拉升上涨', '2018-07-23 21:39:13')
('周二看好观察的题材潜力股分享次新股$东方环宇 sh603706$$名臣健康 sz002919$$彤程新材 sh603650$个人观点,仅供参考。', '2018-07-23 21:03:57')
('【彤程新材：持有北京石墨烯研究院有限公司16%股权】7月23日，彤程新材(603650)在互动平台表示，公司投资北京石墨烯研究院有限公司，持有16%股权，是除北大资产经营有限公司（北京大学全资子公司）之外的最大股东。北京石墨烯研究院有限公司是作为北京石墨烯研究院成果转化与产业化推进的载体，是专注 ...展开全文c', '2018-07-23 18:06:44')
