('|前一波手稿... #牛股推荐#\ue627 收盘说说#华新水泥 sh600801[股票]##成都路桥 sz002628[股票]#', '2018-07-23 09:13:41')
('著名游资动向：中投无锡清扬路：做T减仓PCB丹邦科技，介入军工杰赛科技国泰南京太平路：介入次新彤程新材被砸长城仙桃钱沟路：出局富勒烯通产丽星，介入国产替代实达集团，介入新能源车圣阳股份，介入基建成都路桥，做T超跌反弹+储能电池斯太尔华鑫西安科技路：介入实控人变更西安饮食银河绍兴路 ...展开全文c', '2018-07-23 09:09:06')
('从泛股权属性来说，这条线今天依然很强西安饮食早上快速2板助攻，成都路桥分歧三板回封（叠加基建的回封），新华百货、高科石化、供销大集等首板。', '2018-07-23 09:04:03')
('【大盘观点】今日大盘反弹，基建、水泥、军工、银行、国产软件与系统强势，通产丽星领涨，成都路桥和成都银行分别领涨基建和银行，预期明日大盘情况如下，（1）预期先出现的运行轨迹：小幅低开-震荡与反弹上冲摸高-受阻回落整理，或者小幅低开-震荡与反弹拉升上涨，（2）支撑压力位：沪指压力位2902 ...展开全文c', '2018-07-23 09:01:07')
('发布了头条文章：《20180723复盘：通产丽星、斯太尔、成都路桥》 |20180723复...', '2018-07-23 08:58:28')
('成都路桥，我从常理去推论，它走的是举牌这个独立线，盘面上是跟随兆新股份的但是中国建筑这里大涨，包括基建异动，它这里又回封，我只能说，我预测不到', '2018-07-23 08:57:50')
('发布了头条文章：《炒股养家：权重搭台，小票唱戏！》 #成都路桥 sz002628[股票]# #西安饮食 sz000721[股票]# #浪潮信息 sz000977[股票]# |炒股养家：...', '2018-07-23 08:53:14')
('腾讯证券讯，7月23日消息，截至发稿，中国电建（601669）大涨5.08%，报5.58元，成交额18775万元，换手率0.31%，振幅5.65%，量比6.33。中国电建所在的基础建设行业，整体涨幅为4.79%。领涨股为成都路桥（002628）,领跌股为中国海诚（002116）。资金方面，中国电建近5日共流出108.63万元，今日到此时 ...展开全文c', '2018-07-23 08:46:18')
('2018/7/24 狙击龙头整理今日市场主线有军工、基础建设、并购重组、食品安全、新股与次新股、商品涨价、送转填权。结合涨停时间先后顺序、人气强弱、实际流通盘大小，题材主线等多方面因素，推导出以下兼具领袖气质个股：成都路桥、西安饮食、东方环宇、古鳌科技、三晖电气。', '2018-07-23 08:32:11')
('文来头狼精选（周二）头狼回顾：斯太尔振幅加大，尾盘再次涨停，星徽精密涨停后开板回撤。涨停板精选1、斯太尔 ...展开全文c', '2018-07-23 08:29:57')
('发力财政政策，再看看成都路桥的333买盘。新一轮基建开始，钢筋水泥煤炭等周期股要飞。', '2018-07-23 07:13:21')
('大水漫灌式宽松没有条件重现', '2018-07-23 07:17:59')
('现在市场都在走弱转强成都路桥通过两次弱转强，今天带动基建成功的上位了我只能说，留下没技术的泪水', '2018-07-23 06:58:13')
('风格切换？NO！题材依然称王 -------7月23日复盘小结。涉及股票 $通产丽星 sz002243$ $斯太尔 sz000760$ $成都路桥 sz002628$', '2018-07-23 05:36:15')
('烂板标的当中，有三个表现强劲，如果你有跟踪，相信很清楚。$斯太尔 sz000760$ $成都路桥 sz002628$ $兆新股份 sz002256$ 56', '2018-07-23 05:31:21')
('【A股指数收涨 交建、钢铁、水泥领涨 医药领跌】A股三大指数全线收涨，上证综指收涨1.1%、深证成指收涨0.7%、创业板收涨0.7%。长生生物收盘封跌停。成都路桥、中国交建、龙元建设封涨停，华新水泥收涨9.4%。', '2018-07-23 04:36:26')
('7月23日周一复盘：市场情绪自然涨停43家，跌停23家，炸板率32% 昨日涨停表现3.56% 适合满仓做多！主流概念：人气龙头妖股风向标通产丽星7板；人气小弟：斯太尔5板 成都路桥3板 分支概念军工龙头欣龙控股2板 换手龙实达集团2板 助攻小弟雷科防护2板 西仪股份首板 大金融龙头成都银行2板 一带一路龙头西 ...展开全文c', '2018-07-23 04:19:03')
('$成都路桥 sz002628$ 在我们的烂板股当中，出类拔萃啊！基建龙头。', '2018-07-23 04:09:51')
('成都路桥这盘口信息，你们想表达什么？', '2018-07-23 03:44:45')
('上证盘面不错，低开高走。昨天讲了放水预期利好基建，传导板块上就是钢铁水泥，成都路桥已经在分歧中3涨停了，柳钢，华新水泥都是新高了。目前普涨的行情不要指望了，就是这样板块之间轮动，早上芯片半导体拉升一波，创蓝筹拉升一波，钴拉升一下，就这点机会。夹缝中生存吧。操作 上，早上买了5G龙头, ...展开全文c', '2018-07-23 03:21:58')
('今天结算，当天到账，平台速度就是这么快，不信问问我苍蝇哥 1万本金可配20倍，总操盘资金21万，收益按照21万计算。万一亏了只亏本金70%，还剩3000。穿仓不用赔#配资超话##成都银行##成都路桥 sz002628[股票]##中国交建 sh601800[股票]##丹邦科技 sz002618[股票]##上证指数 sh000001[股票]#', '2018-07-23 03:20:22')
('“尾盘选股”是股市唯一获利法，句句经典，新手再忙也要花3分钟！$楚天科技 sz300358$ $成都路桥 sz002628$ 晓枫投顾的...', '2018-07-23 03:18:06')
('并购重组：成都路桥 西安饮食 高科石化 供销大集', '2018-07-23 03:14:55')
('今日放量一根大阳线，非常的不错，确定见底，明日继续反弹，今日强势票有通产丽星，总妖王，成都路桥，成都银行，西安饮食，古鳌科技，康旗股份，斯太尔，三晖电气，圣阳股份，雷科防务，实达集团等等，教父今日操作一只 斯太尔！上周5介入的一个低吸的石基信息大涨！其余没涨的个股 大盘已经见底 耐心 ...展开全文c', '2018-07-23 03:13:31')
('第三张是斯太尔买入逻辑没想到拉了尾盘太骚了成都路桥买入的逻辑也很简单周五那个位置板的很好竞价基本是很平和的承接力很好有资金在做', '2018-07-23 03:12:00')
('成都路桥竞价这排单，搞的我以为手机出问题了。歇了一周，只敢排板了，怂怂怂', '2018-07-23 03:04:58')
('成都路桥这是干什么玩意？', '2018-07-23 03:04:41')
('今天在西仪股份的带领下，整个市场军工都起来了然后成为了早上最强大的热点我没有买到昨天复盘实话看到了，但是真没想到会那么板 ...展开全文c', '2018-07-23 03:00:52')
('曾经有一个人他说话算话，然后他每次买股票都涨停！！！简直就是太牛逼了#成都路桥 sz002628[股票]#', '2018-07-23 02:55:36')
('最近手臂上痒痒的 可能长痱子了 每次身上痒痒的时候就很会赚钱 早上忙着卖没脸新材来不及打赵鑫 逃过一劫 打了通产丽星和成都路桥 看来明天还是元气满满的一天', '2018-07-23 02:52:52')
('发布了头条文章：《文轩论股：成都路桥+罗牛山+紫金矿业，本周将开启反弹狂潮！》 $成都路桥 sz002628$ $上证指数 sh000001$ #股票# #疫苗# |文轩论股：...', '2018-07-23 02:17:48')
('成都地方股这两天有点给力啊，成都路桥三连板，成都银行是次新银行龙头', '2018-07-23 02:16:09')
('特锐德、葛洲坝、成都路桥、龙元建设 ，基建有点意思了', '2018-07-23 02:06:07')
('工程建筑午后继续扩大涨幅，板块内多只涨停(龙元建设、成都路桥、中国交建、苏交科)，这主要是基于超跌反弹+估值修复。今天放量特别明显，但市场分化亦是明显，很多中字头的个股涨幅都不小，但小票的表现的则一般，创业板指数甚至还翻绿。', '2018-07-23 02:05:20')
