('38岁传奇女股神看破股市：20年坚决只做一种股票，股市就是印钞机 $神剑股份 sz002361$ $智动力 sz300686$ $宝光股份 sh600379$ $正邦科技 sz002157$ 爛Gag澔革...', '2018-07-10 10:52:43')
('要闻掘金1）猪价指数已从5月低点上涨16% 相关企业盈利有望改善牧原股份、顺鑫农业、正邦科技、温氏股份2）国六标准渐近 重型柴油车迎来硬件更新升级大潮中国重汽、潍柴动力...展开全文c', '2018-07-09 20:30:10')
('这他妈不算诈骗？业绩预报没个误差标准的吗，岂不是想怎么写怎么写？//@Kevinqin008:正邦还好，牧原好多卖方死推，大家都养猪凭什么你业绩不一样，养的野猪？//@jimsimons:正邦科技刚变脸过，看来行业如此', '2018-07-09 06:09:31')
('实时播报：★个股利空【牧原股份：大幅下调半年度业绩预告由预盈超1亿下调为亏损近1亿】嗨牛财经App讯，牧原股份大幅下调半年度业绩预告：预计亏损7500万元–8500万元，此前预计盈利1亿元-4亿元；4-6月的生猪销售价格低于原先预计的水平，导致上半年净利润低于公司先前预计的区间下限。', '2018-07-09 14:16:43')
('杭州老教授玩转股市：27年坚持只做“筹码分布”,实现百亿梦想 $同达创业 sh600647$ $正邦科技 sz002157$ $浙江众成 sz002522$ $创新股份 sz002812$ 欧欧欧哈的...', '2018-07-09 09:26:10')
('他们家的猪赚30点毛利，嘿，你还别不服气 //@Kevinqin008: 正邦还好，牧原好多卖方死推，大家都养猪凭什么你业绩不一样，养的野猪？//@jimsimons:正邦科技刚变脸过，看来行业如此', '2018-07-09 06:09:31')
('实时播报：★个股利空【牧原股份：大幅下调半年度业绩预告由预盈超1亿下调为亏损近1亿】嗨牛财经App讯，牧原股份大幅下调半年度业绩预告：预计亏损7500万元–8500万元，此前预计盈利1亿元-4亿元；4-6月的生猪销售价格低于原先预计的水平，导致上半年净利润低于公司先前预计的区间下限。', '2018-07-09 07:11:42')
('预知后市是出是留，盲目没有方向的来，指点后市如何操。正邦科技(sz002157) 北斗星通(sz002151) 通富微电(sz002156) 湖南黄金(sz002155) 莱茵生物(sz002166) 汉钟精机(sz002158) 静心静唔的...', '2018-07-07 19:40:52')
('一退休老教授狂言：股市唯一不骗人“线上阴线买”曝光，字字抖金 $恒康医疗 sz002219$ $正邦科技 sz002157$ $华星创业 sz300025$ $嘉欣丝绸 sz002404$ 3305079245...', '2018-07-07 00:30:01')
('发布了头条文章：《首席妖王再度爆发？002157正邦科技+002013中航机电》 $正邦科技 sz002157$ $中航机电 sz002013$ #股票分析# #个股推荐与走势分析# #短线牛股# |首席妖王再...', '2018-07-04 05:49:08')
('【公告：业绩】安阳钢铁：半年报预增超30倍博世科：上半年净利预增88%-117%浙江美大：上半年净利预增45%-50% ...展开全文c', '2018-07-04 01:14:47')
('正邦科技修正半年业绩预告，修改后是亏损1.6-2亿。公告称主要原因是生猪价格持续低迷且饲料盈利水平低于预期。终于有养猪企业落入亏损的区间了。就等他们业绩反转了。', '2018-07-03 23:32:51')
('不知道出什么问题，发不出来，正邦科技逢低买。翻了一下2017年我在分析该股时候说要跌倒3.71，居然到了。', '2018-07-03 18:31:05')
('Ø  今日策略：逢低买入，挂单9.12元入场，中线长线继续持有。4、    石大胜华：公司的价值决定了本次调整以来，公司股价比较强劲，短期再次站上了144日均线的21.47元位置，下方55天线支撑21.94和89天线支撑20.85支撑已经靠近即将金叉长周期均线，继续看好，攻击上方233线的24.96是第一目标。Ø  今日 ...展开全文c', '2018-07-03 22:16:43')
