('错过了很多早盘的好板，只能试试这个烂板了300390天华超净参考下大家，300602飞荣达没太大毛病只不过这样指数的日子还一直翻绿，怕是要5交易日以上的调整，实在心累等不起了，刚刚止损了。（飞荣达今天有机会做大长腿的可惜分时就是不给力，一旦翻红多么好的日K啊！）', '2018-07-20 01:54:27')
('发布了头条文章：《飞荣达300602 ：主力开启新一轮暴跌模式，股民：做好减仓准备》 $飞荣达 sz300602$ \ue627 微博股票微博股票热议榜\ue627 股票分析 |飞荣达3006...', '2018-07-19 22:41:07')
('#飞荣达 sz300602[股票]# 大盘开盘后砸到前低2752点附近后有反抽了。但要观察反抽的力度和持续性', '2018-07-19 22:11:15')
('早盘计划：英科、飞荣达、瀛通通讯，反抽走。关注亚夏股份、彤程新材、同为股份、星徽精密、东方环宇、芯能科技。', '2018-07-19 21:11:48')
('发布了头条文章：《贬值+次新+填权+PCB电路板-002866传艺科技，你要不要！》 #通产丽星 sz002243[股票]# #飞荣达 sz300602[股票]# #网易新闻# #头条财经# #上证指数sh000001# #新浪股吧# #牛股推荐# #新浪理财师# |贬值+次新+...', '2018-07-19 20:45:43')
('防失忆记录 2018/07/18 四红星发展 -飞荣达 -欣锐科技 -堪设股份 o锐科激光 + lm 少许底仓 ...展开全文c', '2018-07-19 12:17:51')
('7月19日重点股发布大单流向超短线科沃斯、江苏新能、高风险大富科技、彤程新材、锐科激光、意华股份、文灿股份、欣天科技、工业富联、中兴通讯、欣锐科技、 ...展开全文c', '2018-07-19 09:43:25')
('早盘止损欣锐科技、恒泰实达、红星发展，全部大亏。加仓飞荣达和锐科激光。盘前看好的美联新材没买到。市场成交量放不出来，题材主线也没有，再叠加周末效应，可能下探2700避免不了。', '2018-07-19 06:29:05')
('发布了头条文章：《飞荣达+ 东宏股份 +浪潮信息，主力震荡前进欲求突破，后市精准点评！》$飞荣达 sz300602$东宏股份 sh603856$浪潮信息 sz000977$上证指数 sh000001$ |飞荣达+ 东...', '2018-07-19 06:15:54')
('1、止损飞荣达； 2、1/3仓位打丹邦股份，没有听老师的话，接盘了，明天希望能冲高止损。 贝努力666', '2018-07-19 03:00:04')
('富勒烯龙头通产丽星曲高和寡,上午病怏怏的，下午突袭涨停6连扳，不过石墨烯消停了；丹邦科技，博敏电子等涨停开盘，被砸低走，元器件早上过于骄傲，结果多股漏气，仍为今天强势板块市场极度虚弱，昨日强股中超控股，大富科技等开盘被闷死今日强股：赫美集团，玉龙股份，惠伦晶体，迦南科技，星微精 ...展开全文c', '2018-07-19 05:26:53')
('16:20飞荣达:1，因为开盘太低，没有买入。同时说明：2，左侧的大阳抛物线不能理所当然理解为强势结构，3，软涨停板+早盘直拉涨停板+大阴线并不能天然形成涨停板反抽，4，星徽精密，容大感光：1，放量不开，明天买入。2，非新股不用考虑开盘高，低的问题。容大感光：实体涨停板后第一个—-字板放 ...展开全文c', '2018-07-19 04:35:57')
('看票时间段，个股解析，是否持有下面的票，几支票做分析，持有的私信留言，加成本发我科伦药业猛狮科技伊戈尔彩讯股份飞荣达 ...展开全文c', '2018-07-19 03:32:46')
('下午加仓300747,002607.只敢做做这种标的了。昨日时代新材和飞荣达2选1选错，差点运气。', '2018-07-19 03:16:23')
('股市唯一不会骗人的指标——“均线”，字字珠玑，建议散户收藏！ $同力水泥 sz000885$ $飞荣达 sz300602$ $南京新百 sh600682$ $海峡环保 sh603817$ 李域悟看盘...', '2018-07-19 02:28:38')
('发布了头条文章：《飞荣达(300602)：遭主力资金5亿暗中增持，将成A股大赢家》 $飞荣达 sz300602$ |飞荣达(300...', '2018-07-19 01:46:38')
('300602飞荣达等不住了止损出局，亏损还算在可承受范围内，下午休息，明早在战了', '2018-07-19 01:07:30')
('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！飞荣达(sz300602) 立昂技术(sz300603) 德创环保(sh603177) 集友股份(sh603429) 英联股份(sz002846) 盐津铺子(sz002847)', '2018-07-19 01:06:51')
('7.19 午极端行情，指数冲一波就跌，个股上更是两级分化厉害，打板的极少数赚钱，看不懂的管住手就是，中线有回调但还只是回撤利润，还是能拿，但短线切忌不可多做多错。昨日低吸票今天这种大低开后基本就是全部止损，去赌还有回拉赌性太大，意义不大，今天低吸票的飞荣达明天不是能保证明天一定活出 ...展开全文c', '2018-07-19 00:57:27')
('昨天17块买的$美联新材 sz300586$直接起飞，开盘一字板。下午关注:$神马股份 sh600810$ $彤程新材 sh603650$ $飞荣达 sz300602$ 。低吸才是王道！', '2018-07-18 23:36:07')
('今天的走势比昨天的红盘更让我心安。#今日复盘##今日看盘# $上证指数 sh000001$ $金安国纪 sz002636$ $天华超净 sz300390$ $飞荣达 sz300602$', '2018-07-18 22:58:55')
('我刚刚调仓了微博股票组合网页链接，以成交价37.6卖出$飞荣达 sz300602$。', '2018-07-18 22:08:04')
('7.18小结:纵横通信在竞价就输给飞荣达了，加上中兴高开低走在中兴绿盘那一刻卖出了纵横通信，但是还是有资金去尝试拉涨停。碳元科技卖出着急了点，通产丽星跟石墨烯板块都比较强势，那么跟风股可以等等更好的卖点。打板了通产丽星跟德尔未来，昨天不舍得打板今天多出10%，德尔未来是通产丽星的跟风股， ...展开全文c', '2018-07-18 20:41:42')
('300602飞荣达大家感觉有没有反包的机会，集合竞价需要高开6.5%左右就可以吃掉今天的阴线，在设计交易计划，沙盘推演，看上去如果这样反包其实难度好像也不算大，不知道集合竞价有没有大资金愿意这样试试了', '2018-07-18 10:35:21')
('PCB大面积涨停，这种板块整体涨停的现象很长时间没出现过了。17日，在中兴通讯4天3板的背景下，5G勉强涨停6只。昨天，4大游资从“中兴通讯”卷走5000万后，今天它的调整不是什么意外。任何热点不会这么快熄火，如果5G再出一只龙头的话，最有可能是飞荣达。昨天，在意华股份、盛洋科技哑火之后，5G ...展开全文c', '2018-07-18 09:51:41')
('发布了头条文章：《金安国际三连板激活了PCB涨价概念！金安国际是本次PCB涨价概念龙头股》 #伊戈尔 sz002922[股票]# #邦讯技术 sz300312[股票]# #博敏电子 sh603936[股票]# $中能电气 sz300062$ $飞荣达 sz300602$ $丹邦科技 sz002618$ 通产丽星是龙头、通产丽星明天估计就打开了！这段时间龙头能买进 ...展开全文c', '2018-07-18 09:38:36')
('谨防高位蓝筹补跌连续两个交易日了，市场风偏仍没有提高。虽有通产丽星和金安国纪继续顶一字，后者今天甚至带起了PCB板块热潮。但除此之外，昨天的二板仍没有演化成换手三板。飞荣达携成交回报机构连续大买之威也没有办到。一方面强势股冲高回落连续杀跌如大通燃气、中能电气、维科技术、意华股份、 ...展开全文c', '2018-07-18 08:17:11')
('连涨4天以上和连跌4天以上个股（不包含上市20日之内的次新股）$飞荣达 sz300602$ $宋城演艺 sz300144$$兆新股份 sz002256$ $万润股份 sz002643$', '2018-07-18 06:52:06')
('5G板块今天大部分都呈现调整的走势，昨天涨停的品种大部分都冲高回落，比如飞荣达三涨停被打开最终涨3个多点，中兴通讯则高开后最终跌3个多点，很显然超短线资金不少都选择先落袋为安的策略，这就直接让市场进入迷茫的状态。其实不需要，因为5G这板块未来中期依然都还有反复活跃的需要，所以，中期依然 ...展开全文c', '2018-07-18 06:34:42')
('A股史上无所不能的“均线”法则，字字千金，值得散户珍藏28年 $空港股份 sh600463$ $飞荣达 sz300602$ $纳川股份 sz300198$ $浙江富润 sh600070$ 小正太Ente...', '2018-07-18 06:24:21')
('盘面一摊死水，今天吃面买了下面三个货，无盘可复，休息一天！#飞荣达 sz300602[股票]# #纵横通信 sh603602[股票]# #通产丽星 sz002243[股票]#', '2018-07-18 04:38:42')
('10.30已经过去，不再考虑上车飞荣达这个标的。', '2018-07-18 03:11:00')
('20180718竞价把宣亚买回来 烂 早盘上的飞荣达 烂 午盘上的厦门信达 烂 今天烂的够彻底，上宣亚是比特币7500高开总要试试，飞荣达突破形态 有可能业绩预期龙头 总要试试 信达昨天厦门板块的龙头 总要试试 PCB涨价 这种大家都知道的事就不试了 盘中纺织异动 有可能冲高回落，算了不试了！你麻痹！！！ ...展开全文c', '2018-07-18 03:10:12')
('行情惨淡，尾盘跳水，再次跌破10日线，基本上预示着2691这波反弹结束了，创业板虽然稍微好一点会不会跟随可以再观察。目前已经大幅减仓了，早上借着高点抛出昨日建仓的中兴通讯（获利8个点）和飞荣达（获利10个点），一早上就特意强调了大家目前落袋为安，今天上午出货为主，童鞋们目前主要是降低仓位 ...展开全文c', '2018-07-18 03:07:55')
('发布了头条文章：《A股重磅：奥瑞德+华凯创意+飞荣达，七月操作策略解读》 $奥瑞德 sh600666$ +$华凯创意 sz300592$ +$飞荣达 sz300602$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |A股重磅：...', '2018-07-17 23:45:12')
('这盘面能让人睡着！早盘竞价低于预期，飞荣达竞价直接止盈。。。目前近乎空仓，低吸一个电路板概念，目前涨停。。。', '2018-07-17 23:43:29')
('业绩预增+5G飞荣达迅速上板，目前3连板加速上攻状态，反观中兴通讯这边迅速被资金砸盘，在700亿市值关口面临巨大压力，需要小票来延续火种；飞荣达刚一度被资金砸开，早盘高开幅度太大也是一个败笔，形成了连续缩量迅速上板后引发了巨大分歧，5G目前需要顶梁柱，看看谁能完成这个任务~！', '2018-07-17 23:42:12')
('发表了博文《注意！5G概念逆市大涨，9家公司业绩增长超过100％！》大盘弱势运行的背景下，5G概念股已连续两日表现抢眼。17日，超过六成的5G概念股收涨，富春股份、邦讯技术、飞荣达、纵横通信等7只个股|注意！5G概...', '2018-07-17 23:31:54')
('盘中值班：“业绩+趋势+事件刺激”依然是当前比较稳妥的赢利模式，看看佳发教育、飞荣达就知道了，都是业绩超预期增长、技术形态强势，再配合一定的事件刺激（飞荣达是中兴解禁事件，佳发教育是“新教育”），就飞起来了。', '2018-07-17 22:59:53')
('发布了头条文章：《300602 飞荣达：被严重低估了，近期有望成为暴涨新妖王！》 \ue627 短线牛股 \ue627 股票推荐 #股市投资思维# $飞荣达 sz300602$ |300602 飞...', '2018-07-17 22:53:21')
('飞荣达的回封涨停板没来得及上车，我的预计是换手14红5的位置，所以在换手9红5的位置犹豫了，所以如果错过就错过了，如果再开板再决定。', '2018-07-17 22:36:01')
('超跌+业绩大增+独角兽+高送转，这只医药股本周涨幅排名A股第一$中原环保 sz000544$ $三垒股份 sz002621$ $飞荣达 sz300602$ $电连技术 sz300679$ 蒋涛分析的...', '2018-07-17 22:25:36')
('#华谊兄弟 sz300027[股票]# 熊市，大家好好学技术，牛市好赚大钱，像鲁抗医药这种形态，如果在牛市，可能就直接上板了，但是因为现在是熊市，所以资金要谨慎一些。如果飞荣达不死，可以继续参考恒峰信息。这两天弄不好会成为投机和投资的再度风格转换。\ue627 今日看盘 #新浪财经# \ue627 今日股市', '2018-07-17 22:13:07')
('中兴通讯开板，5G缺少顶梁柱板块整体高开低走大富科技勉强fengban，板块内个股走势仍不可小觑明星当属飞荣达，迅速上板被砸，出逃的资金已不在少数放量还手，可以关注次新除权方向；飞荣达不贪的肉已吃到一旦出现贪心心理，前方大坑就等你了，股市玩的也是心理战#中兴通讯 sz000063[股票]# ...展开全文c', '2018-07-17 22:11:07')
('很难做、1.芯片半导体一板很多，而且是一字，导致后面上板的没有溢价2.5G$飞荣达 sz300602$ 没有助攻3.富勒烯$通产丽星 sz002243$ 高度很难比天华超净高', '2018-07-17 22:10:54')
('如果$飞荣达 sz300602$ 不死，可以继续参考$恒锋信息 sz300605$ 。这两天弄不好会成为投机和投资的再度风格转换. 网页链接', '2018-07-17 22:07:12')
('#上证指数 sh000001[股票]# \ue627 新浪理财师 如果$通产丽星 sz002243$ 今天不死，那么大家可以参考下$江淮汽车 sh600418$ ，这个属于低位的品种飞荣达再度涨停，历史新高，放量换手，所以次新股除权的方向还是可以参考的。', '2018-07-17 22:06:17')
('而近期市场最活跃的地带5G继中兴歇菜之后，目前没有突出重围飞荣达3连板难封，纵横通信有平台压力，还需要努力而新材料方面，只有通产丽星一个股目前突出来了不过目前看通产丽星有些妖股独立属性了其他的个股有些跟不上，难以形成较好的赚钱效应#今日看盘# $通产丽星 sz002243$', '2018-07-17 22:05:25')
('$飞荣达 sz300602$ 炸板，短线可以先拿出来了，', '2018-07-17 22:02:10')
('飞荣达和通产丽星 前面几个涨停都是日成交量比较少 可以说 主力手里没有什么砸盘筹码和动力 自然拉升起来 简单轻快！ 每天总有刁民想砸盘！砸一砸 更能考验这个涨停板的成色！是否经受得起考验！龙头必须经历的考验！', '2018-07-17 22:01:06')
('如果#通产丽星 sz002243[股票]# 今天不死，那么大家可以参考下#江淮汽车 sh600418[股票]# ，这个属于低位的品种，#飞荣达 sz300602[股票]# 再度涨停，历史新高，放量换手，所以次新股除权的方向还是可以参考的。今天#中兴通讯 sz000063[股票]# 走势有些疲软，释放了流动性，这对于投机资金借机打造新的 ...展开全文c', '2018-07-17 21:59:27')
('金牌讲师：5G板块受中兴通讯解禁消息刺激，5G板块继续爆发，中兴通讯4天3板；飞荣达接力意华股份成为新龙头；近期5G持续的发酵不过属于老题材，今天一致性较高明天将迎来分化，所以不能追高。今天重点关注叠加高送转的 $飞荣达 sz300602$ 。 #今日看盘# #投资达人说#', '2018-07-17 21:55:39')
('纵横通信，继续持有，10.30之前不涨停止盈，如果早盘能够弱转强实现二连板，那么就可能晋升为5G的龙头替代品，目前来看，只是跟风先锋股。早盘有溢价。飞荣达，一板烂板，二板弱转强，5G+超跌，昨天的市场主线就是两条，一条是以中兴通讯带动的超跌股反抽板，一条就是5G，所以这个标的今天三板预期非 ...展开全文c', '2018-07-17 21:55:19')
