,ticker,date,sentiment_sum,count,sentiment_mean,weighted_sentiment_sum,weighted_sentiment_mean,tradeDate_x,mean_price,mean_price_change,tradeDate_y,preClosePrice,actPreClosePrice,openPrice,negMarketValue,marketValue,PE,PE1,PB
0,000036,2018-01-02,2,2,1.0,0.138345,0.0691725,2018-01-02,9.241575831036565,-0.0047202380930077,2018-01-02,9.04,9.04,9.0,10571320662,10627250487,5.2821,7.3733,2.5812
1,000036,2018-01-08,0,1,0.0,0.0,0.0,2018-01-08,10.36703080795092,0.01793748287753516,2018-01-08,9.93,9.93,10.0,11502414426,11563270401,5.8022,8.0228,2.8086
2,000036,2018-01-11,4,2,2.0,1.7311040000000002,0.8655520000000001,2018-01-11,10.22534918404303,0.016082228991390224,2018-01-11,10.3,10.3,10.23,11479704822,11540440647,6.0184,8.0069,2.803
3,000036,2018-02-01,2,1,2.0,0.599858,0.599858,2018-02-01,10.398411252157768,-0.05918118871665434,2018-02-01,11.25,11.25,11.16,12410798586,12476460561,6.5735,8.6563,3.0304
4,000036,2018-04-02,3,2,1.5,0.799113,0.3995565,2018-04-02,8.276671731472717,-0.02376314700676141,2018-04-02,8.48,8.48,8.5,9594807690,9645571065,4.9549,6.6922,2.3428
5,000036,2018-04-03,3,2,1.5,1.1646299999999998,0.5823149999999999,2018-04-03,8.299904762824577,0.002807049996137234,2018-04-03,8.45,8.45,8.3,9379066452,9428688402,4.9374,6.5417,2.2901
6,000036,2018-04-17,1,2,0.5,0.486839,0.2434195,2018-04-17,7.804183673969182,-0.020098533501231808,2018-04-17,8.08,8.08,8.1,8868100362,8915018937,4.7212,6.1854,2.1653
7,000036,2018-04-18,0,1,0.0,0.0,0.0,2018-04-18,7.871424910735373,0.008616050002830278,2018-04-18,7.81,7.81,7.82,8902164768,8949263568,4.5634,6.2091,2.1736
8,000036,2018-04-23,0,1,0.0,0.0,0.0,2018-04-23,7.699274409315127,0.019914555458658834,2018-04-23,7.64,7.64,7.64,8538811104,8583987504,4.4641,6.3911,1.9474
9,000036,2018-04-24,0,1,0.0,0.0,0.0,2018-04-24,7.6975681060328025,-0.00022161871257109222,2018-04-24,7.52,7.52,7.51,8765907144,8812285044,6.3911,6.561,1.9992
10,000036,2018-04-26,7,5,1.4,2.5263596,0.50527192,2018-04-26,7.545011842209484,-0.010654041361280231,2018-04-26,7.74,7.74,7.76,8561520708,8606817258,6.577999999999999,6.4081,1.9526
11,000036,2018-05-02,2,1,2.0,0.00141965,0.00141965,2018-05-02,7.341781150631819,-0.01598618434739718,2018-05-02,7.49,7.49,7.5,8391198678,8435594103,6.3656,20.023,1.8699
12,000036,2018-05-07,3,3,1.0,1.064022,0.354674,2018-05-07,7.524586219529037,0.0028800292955897255,2018-05-07,7.39,7.39,7.4,8527456302,8572572627,12.2248,20.3482,1.9002
13,000036,2018-05-10,2,1,2.0,0.557854,0.557854,2018-05-10,7.659007506959491,-0.00380076290086262,2018-05-10,7.46,7.46,7.5,8811326352,8857944552,12.3406,21.0255,1.9635
14,000036,2018-05-22,2,3,0.6666666666666666,1.23743,0.41247666666666666,2018-05-22,7.634644447170454,-0.005733653080186252,2018-05-22,7.71,7.71,7.74,8754552342,8800870167,12.7542,20.8901,1.9508
15,000036,2018-05-24,2,1,2.0,1.32281,1.32281,2018-05-24,7.508189813067094,-0.011397157712608852,2018-05-24,7.6,7.6,7.63,8595585114,8641061889,12.5722,20.5107,1.9154
16,000036,2018-05-28,3,2,1.5,1.5649889999999997,0.7824944999999999,2018-05-28,7.331890968911627,-0.006154968561520313,2018-05-28,7.43,7.43,7.47,8323069866,8367104841,12.290999999999999,19.8605,1.8547
17,000036,2018-05-29,2,2,1.0,0.718858,0.359429,2018-05-29,7.111395818736052,-0.03007343550395236,2018-05-29,7.33,7.33,7.33,8254941054,8298615579,12.1256,19.6979,1.8395
18,000036,2018-05-30,4,2,2.0,0.9476300000000001,0.47381500000000004,2018-05-30,7.144377374365559,0.0046378455749309655,2018-05-30,7.27,7.27,7.18,7971071004,8013243654,12.0263,19.0205,1.7762
19,000036,2018-06-06,1,1,1.0,0.556837,0.556837,2018-06-06,7.252692281169548,0.003135808033857268,2018-06-06,7.29,7.29,7.3,8209521846,8252956071,12.0594,19.5895,1.8294
20,000036,2018-06-11,3,2,1.5,1.267933,0.6339665,2018-06-11,7.285456179324959,0.008197288429605765,2018-06-11,7.2,7.2,7.18,8254941054,8298615579,11.9105,19.6979,1.8395
21,000036,2018-06-13,4,2,2.0,2.546546,1.273273,2018-06-13,7.2722815207366995,-0.005011269687768216,2018-06-13,7.3,7.3,7.28,8254941054,8298615579,12.075999999999999,19.6979,1.8395
22,000036,2018-06-14,4,2,2.0,1.71928,0.85964,2018-06-14,7.267971269930855,-0.0005926958126626358,2018-06-14,7.27,7.27,7.26,8232231450,8275785825,12.0263,19.6437,1.8344
23,000036,2018-06-19,2,2,1.0,1.3353700000000002,0.6676850000000001,2018-06-19,6.519333997070611,-0.041178121640402576,2018-06-19,7.23,7.23,7.1,7415425555,7453915334,11.9602,17.6929,1.6523
24,000036,2018-06-20,2,3,0.6666666666666666,0.5912,0.19706666666666664,2018-06-20,6.788280942423872,0.04125374547064298,2018-06-20,6.53,6.53,6.54,7472205230,7510989724,10.8022,17.8284,1.6649
25,000036,2018-06-21,0,1,0.0,0.0,0.0,2018-06-21,6.763000889415338,-0.0037240728872230955,2018-06-21,6.58,6.58,6.76,7597120515,7636553382,10.8849,18.1264,1.6927
26,000036,2018-06-26,3,3,1.0,1.6858499999999998,0.56195,2018-06-26,6.548168731343072,-0.007579130732851769,2018-06-26,6.73,6.73,6.69,7472205230,7510989724,11.133,17.8284,1.6649
27,000036,2018-06-27,0,4,0.0,0.0,0.0,2018-06-27,6.50683042145221,-0.006312957345310122,2018-06-27,6.58,6.58,6.6,7438137425,7476745090,10.8849,17.7471,1.6573
28,000036,2018-06-28,6,3,2.0,2.7980780000000003,0.9326926666666667,2018-06-28,5.8799593117871325,-0.09634047132969092,2018-06-28,6.55,6.55,6.56,7438137425,7476745090,10.8353,17.7471,1.6573
29,000036,2018-07-02,5,4,1.25,1.801481,0.45037025,2018-07-02,5.563166625636503,-0.03479154608711321,2018-07-02,5.94,5.94,5.96,6404747340,6437991192,9.8262,15.2815,1.4271
30,000036,2018-07-03,18,10,1.8,3.196798200000001,0.31967982000000006,2018-07-03,5.31911742263336,-0.04386875666792045,2018-07-03,5.64,5.64,5.66,6325255795,6358087046,9.3299,15.0918,1.4094
31,000036,2018-07-04,9,10,0.9,5.77812,0.577812,2018-07-04,5.159304522460915,-0.030045003235391166,2018-07-04,5.57,5.57,5.57,5859662460,5890077048,9.2141,13.9809,1.3056
32,000036,2018-07-05,2,3,0.6666666666666666,0.219356,0.07311866666666667,2018-07-05,4.907028117114943,-0.048897366737647,2018-07-05,5.16,5.16,5.16,5749898110,5775928268,8.5359,13.71,1.2803
33,000036,2018-07-09,10,18,0.5555555555555556,5.3948409999999996,0.2997133888888889,2018-07-09,5.431087334488563,0.06826619483911012,2018-07-09,4.9,4.9,4.92,5863532460,5890077048,8.1058,13.9809,1.3056
34,000036,2018-07-10,23,32,0.71875,9.358094000000001,0.29244043750000004,2018-07-10,5.253913697864802,-0.032622129918381204,2018-07-10,5.16,5.16,5.2,6181708640,6209693632,8.5359,14.7396,1.3765
35,000036,2018-07-11,15,18,0.8333333333333334,6.852936000000001,0.3807186666666667,2018-07-11,5.388895801872963,0.02569172464005609,2018-07-11,5.44,5.44,5.38,6011257115,6038470462,8.9991,14.3331,1.3385
36,000036,2018-07-12,13,11,1.1818181818181819,6.2332778,0.5666616181818181,2018-07-12,5.607359130159804,0.0405395346874049,2018-07-12,5.29,5.29,5.28,6170345205,6198278754,8.7509,14.7125,1.3739
37,000036,2018-07-16,8,18,0.4444444444444444,4.990605,0.27725583333333337,2018-07-16,6.031497153514688,0.004706329013817845,2018-07-16,5.65,5.65,5.64,7011239395,7042979726,9.3465,16.7175,1.5612
